company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,name,rank,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political,wealth.type,wealth.worth in billions,year
1987,LVMH,founder,luxury goods,acquired,64,male,France,FRA,0.0,Europe,Bernard Arnault,15,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,33.5,2014
1972,Asiaworld Internationale Group,founder,real estate,new,0,male,Philippines,PHL,82848194406.0,East Asia,Tan Yu,16,Financial,True,Real Estate,not inherited,True,True,self-made finance,7.0,1996
1961,Circle A Drilling,investor,"oil, railroad, investments",aquired,61,male,United States,USA,10600000000000.0,North America,Philip Anschutz,16,Financial,True,Money Management,not inherited,True,True,self-made finance,15.3,2001
1981,Bloomberg,founder, finance, new,72,male,United States,USA,0.0,North America,Michael Bloomberg,16,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,33.0,2014
1958,Gudang Garam,,cigarettes,new,0,,Indonesia,IDN,227000000000.0,East Asia,Wonowidjojo family,17,Traded Sectors,True,Consumer,not inherited,True,True,inherited,6.7,1996
1943,IKEA,founder,furniture,new,74,male,Sweden,SWE,240000000000.0,Europe,Ingvar Kamprad,17,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,13.0,2001
1998,Google,founder, technology, new,40,male,United States,USA,0.0,North America,Larry Page,17,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,32.3,2014
1990,Telmex,founder, Communications,privatization,56,male,Mexico,MEX,397000000000.0,Latin America,Carlos Slim Helu,18,Non-Traded Sectors,True,Media,not inherited,True,True,privatized and resources,6.1,1996
1971,Cheung king,founder,real estate,new,72,male,Hong Kong,HKG,169000000000.0,East Asia,Li Ka-shing,18,Financial,True,Real Estate,not inherited,True,True,self-made finance,12.6,2001
1936,National Amusements,relation,media,new,77,male,United States,USA,10600000000000.0,North America,Sumner Redstone,18,Non-Traded Sectors,True,Media,father,True,True,inherited,12.6,2001
1995,Amazon,founder, technology, new,50,male,United States,USA,0.0,North America,Jeff Bezos,18,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,32.0,2014
1977,Oracle,founder, software, new,51,male,United States,USA,8100000000000.0,North America,Larry Ellison,19,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,6.0,1996
1998,Google,founder, technology, new,40,male,United States,USA,0.0,North America,Sergey Brin,19,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,31.8,2014
1946,Hyundai Group,founder,cars,new,0,male,South Korea,KOR,603000000000.0,East Asia,Chung Ju-yung,20,Financial,True,Diversified financial,not inherited,True,True,self-made finance,5.9,1996
1956,Kirch Group,founder,media,new,0,male,Germany,DEU,1950000000000.0,Europe,Leo Kirch,20,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,12.0,2001
1950,Cheung Kong,founder,real estate,new,85,male,Hong Kong,HKG,0.0,East Asia,Li Ka-shing,20,Financial,True,Diversified financial,not inherited,True,True,self-made finance,31.0,2014
1961,Auchan,founder,retail,new,0,male,France,FRA,1610000000000.0,Europe,Gerard Mulliez,21,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,5.7,1996
1898,Cox Enterprises,relation,media,aquired,81,female,United States,USA,10600000000000.0,North America,Anne Cox Chambers,21,Non-Traded Sectors,True,Media,father,True,True,inherited,11.7,2001
1898,Cox Enterprises,relation,media,aquired,77,female,United States,USA,10600000000000.0,North America,Barbara Cox Anthony,21,Non-Traded Sectors,True,Media,father,True,True,inherited,11.7,2001
2004, Facebook,founder, technology, new,29,male,United States,USA,0.0,North America,Mark Zuckerberg,21,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,28.5,2014
1980,Tana Exploration Company,relation,oil,new,73,male,Malaysia,MYS,101000000000.0,East Asia,Robert Kuok,22,Financial,True,Money Management,not inherited,True,True,self-made finance,5.7,1996
1946,Ferrero spa,relation,chocolates,new,88,male,Italy,ITA,0.0,Europe,Michele Ferrero,22,Traded Sectors,True,Consumer,not inherited,True,True,executive,26.5,2014
1948,Hong Leong Group,relation,banking,new,55,male,Singapore,SGP,96400967339.0,East Asia,Kwek Leng Beng,23,Financial,True,Diversified financial,father,True,True,inherited,5.7,1996
1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,169000000000.0,East Asia,Walter Thomas and Raymond Kwok,23,Financial,True,Real Estate,father,True,True,inherited,11.5,2001
1981,Dangote Group,founder and CEO,"commodities (sugar, cement flour)",new,56,male,Nigeria,NGA,0.0,Sub-Saharan Africa,Aliko Dangote,23,Non-Traded Sectors,True,Constrution,not inherited,True,True,founder non-finance,25.0,2014
1914,Aldi Sud,relation,groceries,new,94,male,Germany,DEU,0.0,Europe,Karl Albrecht,23,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,executive,25.0,2014
1929,Chow Tai Fook Enterprises,relation,real estate,new,70,male,Hong Kong,HKG,160000000000.0,East Asia,Cheng Yu-tung,24,Financial,True,Real Estate,father,True,True,inherited,5.5,1996
1956,Metropolitan Broadcasting Corporation,chairman,media,new,86,male,United States,USA,10600000000000.0,North America,John Kluge,24,Non-Traded Sectors,True,Media,not inherited,True,True,executive,10.9,2001
1957,Automation Center,founder,computer services,new,85,male,Switzerland,CHE,330000000000.0,Europe,Walter Haefner,25,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,5.5,1996
1990,Telmex,founder, Communications,privatization,61,male,Mexico,MEX,725000000000.0,Latin America,Carlos Slim Helu,25,Non-Traded Sectors,True,Media,not inherited,True,True,privatized and resources,10.8,2001
1968,Icahn Enterprises,founder,investment (via holding company),new,78,male,United States,USA,0.0,North America,Carl Icahn,25,Financial,True,Diversified financial,not inherited,True,True,self-made finance,24.5,2014
1964,Nike,founder,apparel,new,58,male,United States,USA,8100000000000.0,North America,Philip Knight,26,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,5.3,1996
1981,LVMH,founder,luxury goods,acquired,52,male,France,FRA,1380000000000.0,Europe,Bernard Arnault,26,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,10.7,2001
1969,Soros Fund Management,founder,hedge funds,new,83,male,United States,USA,0.0,North America,George Soros,26,Financial,True,Hedge funds,not inherited,True,True,self-made finance,23.0,2014
1950,Otto Group,relation,mail order retail,new,52,male,Germany,DEU,2500000000000.0,Europe,Michael Otto,27,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,5.2,1996
1906,Serono,relation,pharmaceuticals,new,35,male,Switzerland,CHE,279000000000.0,Europe,Ernesto Bertarelli,27,New Sectors,True,Technology-Medical,3rd generation,True,True,inherited,10.5,2001
1984,Dell,founder,technology,new,36,male,United States,USA,10600000000000.0,North America,Michael Dell,27,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,10.5,2001
1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,56,male,Canada,CAN,0.0,North America,David Thomson,27,Non-Traded Sectors,True,Media,father,True,True,inherited,22.6,2014
1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,Fong Teng,28,Traded Sectors,True,Consumer,father,True,True,inherited,5.2,1996
1955,K. Wah Group,founder/chairman,"construction, hotels, gaming",new,84,male,Hong Kong,HKG,0.0,East Asia,Lui Che Woo,28,Financial,True,Real Estate,not inherited,True,True,self-made finance,22.0,2014
1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,Robert and Ten Fong Ng,29,Financial,True,Real Estate,father,True,True,inherited,5.2,1996
1978,Fininvest,founder,media,new,64,male,Italy,ITA,1160000000000.0,Europe,Silvio Berlusconi,29,Non-Traded Sectors,True,Media,not inherited,True,True,privatized and resources,10.3,2001
1930,Schwarz Group,relation,groceries,new,74,male,Germany,DEU,0.0,Europe,Dieter Schwarz,29,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,21.1,2014
0,Takefuji,founder,finance,new,66,male,Japan,JPN,4710000000000.0,East Asia,Yasuo Takei,30,Financial,True,Money Management,not inherited,True,True,self-made finance,5.2,1996
1946,Fidelity Investments,relation,investment banking,new,39,female,United States,USA,10600000000000.0,North America,Abigail Johnson,30,Financial,True,Money Management,3rd generation,True,True,inherited,9.1,2001
1980,Kingdom Holding Company,founder,construction/real estate/banking,new,58,male,Saudi Arabia,SAU,0.0,Middle East/North Africa,Prince Alwaleed Bin Talal Alsaud,30,Financial,True,Diversified financial,not inherited,True,True,privatized and resources,20.4,2014
1919,Votorantim Group,relation,"metals, paper, cement",new,0,male,Brazil,BRA,854000000000.0,Latin America,Antonio Ermirio de Moraes,31,Traded Sectors,True,Non-consumer industrial,father,True,True,inherited,5.1,1996
1911,"Mars, Incorperated",relation,candy,new,69,male,United States,USA,10600000000000.0,North America,Forrest Mars Jr,31,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,9.0,2001
1911,"Mars, Incorperated",relation,candy,new,0,female,United States,USA,10600000000000.0,North America,Jacqueline Mars,31,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,9.0,2001
1911,"Mars, Incorperated",relation,candy,new,64,male,United States,USA,10600000000000.0,North America,John Mars,31,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,9.0,2001
1951,Tetra Pak,relation,food packaging,new,0,female,Sweden,SWE,240000000000.0,Europe,Kirsten Rausing,31,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,9.0,2001
1911,"Mars, Incorperated",relation,candy,new,82,male,United States,USA,0.0,North America,"Forrest Mars, Jr.",31,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,20.0,2014
1911,"Mars, Incorperated",relation,candy,new,74,female,United States,USA,0.0,North America,Jacqueline Mars,31,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,20.0,2014
1911,"Mars, Incorperated",relation,candy,new,77,male,United States,USA,0.0,North America,John Mars,31,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,20.0,2014
1962,Sinar Mas Group,founder,banking,new,0,male,Indonesia,IDN,227000000000.0,East Asia,Eka Tjipta Widjaja,32,Financial,True,Diversified financial,not inherited,True,True,self-made finance,5.1,1996
1909,L'Oreal,relation,cosmetics,new,73,female,France,FRA,1610000000000.0,Europe,Liliane Bettencourt,33,Traded Sectors,True,Consumer,father,True,True,inherited,5.0,1996
1668,Merck,,pharmaceuticals,aquired,0,,Germany,DEU,2500000000000.0,Europe,Merck family,34,New Sectors,True,Technology-Medical,not inherited,True,True,inherited,5.0,1996
1999,Ambev,founder,investment banking/beer,aquired,74,male,Brazil,BRA,0.0,Latin America,Jorge Paulo Lemann,34,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,19.7,2014
1978,Fininvest,founder,media,new,59,male,Italy,ITA,1310000000000.0,Europe,Silvio Berlusconi,35,Non-Traded Sectors,True,Media,not inherited,True,True,privatized and resources,5.0,1996
1980,dish networtk,founder,media,new,48,male,United States,USA,10600000000000.0,North America,Charles Ergen,35,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,8.8,2001
1970,CNN,founder,media,aquired,62,male,United States,USA,10600000000000.0,North America,Ted Turner,35,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,8.8,2001
1976,Henderson Land Development,founder/chairman,real estate,new,86,male,Hong Kong,HKG,0.0,East Asia,Lee Shau Kee,35,Financial,True,Diversified financial,not inherited,True,True,self-made finance,19.6,2014
1953,National Comercial bank of Saudi Arabia,relation,banking,new,0,male,Saudi Arabia,SAU,158000000000.0,Middle East/North Africa,Mohamed Salim Bin Mahfouz,36,Financial,True,Money Management,father,True,True,inherited,5.0,1996
1975,Microsoft,CEO,technology,new,57,male,United States,USA,0.0,North America,Steve Ballmer,36,New Sectors,True,Technology-Computer,not inherited,True,True,executive,19.3,2014
1913,Aldi Nord,Relation,groceries,new,63,male,Germany,DEU,0.0,Europe,"Theo Albrecht, Jr.",36,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,19.3,2014
1938,Samsung,relation,electronics,new,0,male,South Korea,KOR,603000000000.0,East Asia,Lee Kun-Hee,37,New Sectors,True,Technology-Computer,father,True,True,inherited,4.9,1996
0,Takefuji,founder,finance,new,71,male,Japan,JPN,4160000000000.0,East Asia,Yasuo Takei,37,Financial,True,Money Management,not inherited,True,True,self-made finance,8.3,2001
1962,Walmart,relation, retail, new,50,male,United States,USA,8100000000000.0,North America,John Walton,38,Traded Sectors,True,Consumer,father,True,True,inherited,4.8,1996
1947,General Contracting Company,founder,oil infrastructure,new,0,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,Suliman Olayan,38,Financial,True,Diversified financial,not inherited,True,True,self-made finance,8.0,2001
1961,?Luxottica,founder,glasses,new,78,male,Italy,ITA,0.0,Europe,Leonardo Del Vecchio,38,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,19.2,2014
1962,Walmart,relation,retail, new,48,male,United States,USA,8100000000000.0,North America,Jim Walton,39,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,4.8,1996
1923,News Limited,relation,media,new,70,male,United States,USA,10600000000000.0,North America,Rupert Murdoch,39,Non-Traded Sectors,True,Media,father,True,True,inherited,7.8,2001
1990,Renova Group,founder,"aluminum, oil",new,56,male,United States,USA,0.0,North America,Len Blavatnik,39,Financial,True,Diversified financial,not inherited,True,True,self-made finance,18.7,2014
1962,Walmart,relation,retail, new,76,female,United States,USA,8100000000000.0,North America,Helen Walton,40,Traded Sectors,True,Consumer,spouse/widow,True,True,inherited,4.7,1996
1951,Tetra Pak,relation,food packaging,new,74,male,Sweden,SWE,240000000000.0,Europe,Hans Rausing,40,Traded Sectors,True,Consumer,father,True,True,inherited,7.7,2001
1899,Suntory,relation,brewery,new,55,male,Japan,JPN,4160000000000.0,East Asia,Nobutada Saji,40,Traded Sectors,True,Consumer,3rd generation,True,True,inherited,7.7,2001
1999,Metalloinvest,founder,metals,new,60,male,Russia,RUS,0.0,Europe,Alisher Usmanov,40,Resource Related,True,Non-consumer industrial,not inherited,True,True,privatized and resources,18.6,2014
1980,Reliance,relation,textiles,new,56,male,India,IND,0.0,South Asia,Mukesh Ambani,40,Resource Related,True,Energy,not inherited,True,True,inherited,18.6,2014
1962,Walmart,relation,retail, new,47,female,United States,USA,8100000000000.0,North America,Alice Walton,41,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,4.7,1996
1962,Walmart,relation,retail, new,52,male,United States,USA,8100000000000.0,North America,S Robson Walton,42,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,4.7,1996
1945,Wipro Limited,relation,software,new,55,male,India,IND,494000000000.0,South Asia,Azim Premji,42,New Sectors,True,Technology-Computer,father,True,True,inherited,6.9,2001
1981,Softbank,founder/CEO,technology,new,56,male,Japan,JPN,0.0,East Asia,Masayoshi Son,42,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,18.4,2014
1949,Otto Group,relation,mail order retail,new,70,male,Germany,DEU,0.0,Europe,Michael Otto,42,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,inherited,18.4,2014
1964,Nike,founder,apparel,new,76,male,United States,USA,0.0,North America,Phil Knight,42,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,18.4,2014
1876,Henkel AG,,chemicals,new,0,,Germany,DEU,2500000000000.0,Europe,Henkel family,43,Traded Sectors,True,Non-consumer industrial,not inherited,True,True,inherited,4.6,1996
1975,Zara,founder,Fashion,new,65,male,Spain,ESP,626000000000.0,Europe,Amancio Ortega,43,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,6.6,2001
1961,?Luxottica,founder,glasses,new,65,male,Italy,ITA,1160000000000.0,Europe,Leonardo Del Vecchio,43,Traded Sectors,True,Consumer,not inherited,True,True,founder non-finance,6.6,2001
1981,Softbank,founder/CEO,technology,new,38,male,Japan,JPN,4710000000000.0,East Asia,Masayoshi Son,44,Non-Traded Sectors,True,Media,not inherited,True,True,founder non-finance,4.6,1996
1919,Friedrich Flick Industrial Holding,relation,coal,new,69,male,Germany,DEU,2500000000000.0,Europe,Friedrich Flick,45,Financial,True,Money Management,father,True,True,inherited,4.5,1996
1677,Grosvenor Group,relation,real estate,new,49,male,United Kingdom,GBR,1530000000000.0,Europe,Gerald Cavendish Grosvenor,45,Financial,True,Real Estate,5th generation or longer,True,True,inherited,6.5,2001
1963,Fast Retailing/Uniqlo,founder,apparel,new,65,male,Japan,JPN,0.0,East Asia,Tadashi Yanai,45,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,17.9,2014
1952,Salim Group,founder,consumer goods,new,0,male,Indonesia,IDN,227000000000.0,East Asia,Liem Sioe Liong,46,Financial,True,Diversified financial,not inherited,True,True,self-made finance,4.5,1996
1924,MGM Grand,investor,real estate,aquired,83,male,United States,USA,10600000000000.0,North America,Kirk Kerkorian,46,Financial,True,Real Estate,not inherited,True,True,self-made finance,6.4,2001
1955,Hancock Prospecting,relation,mining,new,60,female,Australia,AUS,0.0,North America,Gina Rinehart,46,Resource Related,True,Mining and metals,father,True,True,inherited,17.7,2014
2001,AxialPar,founder,venture capitalist,new,0,male,Switzerland,CHE,330000000000.0,Europe,Pierre Landolt,47,New Sectors,True,Technology-Medical,not inherited,True,True,founder non-finance,4.5,1996
1971,Charles Schwab Corporation,founder,brokerage/banking,new,63,male,United States,USA,10600000000000.0,North America,Charles Schwab,47,Financial,True,Money Management,not inherited,True,True,self-made finance,6.3,2001
1963,"Pinault-Printemps-Redoute (PPR), now known as Kering",founder,apparel,new,64,male,France,FRA,1380000000000.0,Europe,Francois Pinault,47,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,founder non-finance,6.3,2001
1989,Alfa Group,founder,investment banking,new,49,male,Russia,RUS,0.0,Europe,Mikhail Fridman,47,Resource Related,True,Energy,not inherited,True,True,privatized and resources,17.6,2014
1909,Advance Publications,relation,media,new,66,male,United States,USA,8100000000000.0,North America,Donald Newhouse,48,Non-Traded Sectors,True,Media,father,True,True,inherited,4.5,1996
1984,Dell,founder,technology,new,49,male,United States,USA,0.0,North America,Michael Dell,48,New Sectors,True,Technology-Computer,not inherited,True,True,founder non-finance,17.5,2014
1909,Advance Publications,relation,media,new,68,male,United States,USA,8100000000000.0,North America,Samuel Newhouse,49,Non-Traded Sectors,True,Media,father,True,True,inherited,4.5,1996
2001,AxialPar,founder,venture capitalist,new,0,male,Switzerland,CHE,279000000000.0,Europe,Pierre Landolt,49,New Sectors,True,Technology-Medical,not inherited,True,True,founder non-finance,6.1,2001
1916,BMW,relation,cars,new,51,female,Germany,DEU,0.0,Europe,Susanne Klatten,49,Traded Sectors,True,Consumer,father,True,True,inherited,17.4,2014
1921,Charoen Pokphand (CP Group),relation,retail,new,56,male,Thailand,THA,182000000000.0,East Asia,Dhanin Chearavanont,50,Traded Sectors,True,Consumer,father,True,True,inherited,4.2,1996
1969,Soros Fund Management,founder,hedge funds,new,70,male,United States,USA,10600000000000.0,North America,George Soros,50,Financial,True,Hedge funds,not inherited,True,True,self-made finance,6.0,2001
1956,Kharafi Group,relation,construction,new,57,male,Kuwait,KWT,34890773880.0,Middle East/North Africa,Nasser Al-Kharafi,50,Non-Traded Sectors,True,Constrution,father,True,True,inherited,6.0,2001
1946,Fidelity Investments,relation,investment banking,new,52,female,United States,USA,0.0,North America,Abigail Johnson,50,Financial,True,Money Management,3rd generation,True,True,inherited,17.3,2014
