name,rank,year,company.founded,company.name,company.relationship,company.sector,company.type,demographics.age,demographics.gender,location.citizenship,location.country code,location.gdp,location.region,wealth.type,wealth.worth in billions,wealth.how.category,wealth.how.from emerging,wealth.how.industry,wealth.how.inherited,wealth.how.was founder,wealth.how.was political,First_Name,Last_Name
Walter Thomas and Raymond Kwok,6,1996,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,11.2,Financial,True,Real Estate,father,True,True,Walter,ThomasandRaymondKwok
Prince Alwaleed Bin Talal Alsaud,6,2001,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,44,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,privatized and resources,20.0,Financial,True,Money Management,not inherited,True,True,Prince,AlwaleedBinTalalAlsaud
Charles Koch,6,2014,1940,Koch industries,relation,  Oil refining,new,78,male,United States,USA,0.0,North America,inherited,40.0,Financial,True,Diversified financial,father,True,True,Charles,Koch
David Koch,6,2014,1940,Koch industries,relation, Oil refining,new,73,male,United States,USA,0.0,North America,inherited,40.0,Financial,True,Diversified financial,father,True,True,David,Koch
Li Ka-shing,7,1996,1971,Cheung king,founder,real estate,new,67,male,Hong Kong,HKG,160000000000.0,East Asia,self-made finance,10.6,Financial,True,Real Estate,not inherited,True,True,Li,Ka-shing
Jim Walton,7,2001,1962,Walmart,relation,retail, new,53,male,United States,USA,10600000000000.0,North America,inherited,18.8,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Jim,Walton
Yoshiaki Tsutsumi,8,1996,1894,Seibu Corporation,relation,real estate,aquired,61,male,Japan,JPN,4710000000000.0,East Asia,inherited,9.2,Financial,True,Real Estate,father,True,True,Yoshiaki,Tsutsumi
John Walton,8,2001,1962,Walmart,relation, retail, new,55,male,United States,USA,10600000000000.0,North America,inherited,18.7,Traded Sectors,True,Consumer,father,True,True,John,Walton
Sheldon Adelson,8,2014,1952,Las Vegas Sands,founder, casinos, acquired,80,male,United States,USA,0.0,North America,self-made finance,38.0,Financial,True,Real Estate,not inherited,True,True,Sheldon,Adelson
Theo and Karl Albrecht,9,1996,1913,Aldi Nord,Relation,groceries,new,0,male,Germany,DEU,2500000000000.0,Europe,inherited,9.0,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Theo,andKarlAlbrecht
S Robson Walton,9,2001,1962,Walmart,relation,retail, new,57,male,United States,USA,10600000000000.0,North America,inherited,18.6,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,S,RobsonWalton
Christy Walton,9,2014,1962,Walmart,relation, retail, new,59,female,United States,USA,0.0,North America,inherited,36.7,Non-Traded Sectors,True,"Retail, Restaurant",spouse/widow,True,True,Christy,Walton
Hans and Gad Rausing,10,1996,1951,Tetra Pak,relation,food packaging,new,0,male,Sweden,SWE,288000000000.0,Europe,inherited,9.0,Traded Sectors,True,Consumer,father,True,True,Hans,andGadRausing
Alice Walton,10,2001,1962,Walmart,relation,retail, new,52,female,United States,USA,10600000000000.0,North America,inherited,18.5,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Alice,Walton
Helen Walton,10,2001,1962,Walmart,relation,retail, new,81,female,United States,USA,10600000000000.0,North America,inherited,18.5,Traded Sectors,True,Consumer,spouse/widow,True,True,Helen,Walton
Jim Walton,10,2014,1962,Walmart,relation,retail, new,66,male,United States,USA,0.0,North America,inherited,34.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Jim,Walton
Johanna Quandt,11,1996,1916,BMW,relation,cars,new,68,female,Germany,DEU,2500000000000.0,Europe,inherited,8.1,Traded Sectors,True,Consumer,spouse/widow,True,True,Johanna,Quandt
Liliane Bettencourt,11,2014,1909,L'Oreal,relation,cosmetics,new,91,female,France,FRA,0.0,Europe,inherited,34.5,Traded Sectors,True,Consumer,father,True,True,Liliane,Bettencourt
Haniel family,12,1996,1756,Franz Haniel & Cie,,,new,0,,Germany,DEU,2500000000000.0,Europe,inherited,8.1,Financial,True,Diversified financial,not inherited,True,True,Haniel,family
Johanna Quandt,12,2001,1916,BMW,relation,cars,new,73,female,Germany,DEU,1950000000000.0,Europe,inherited,17.8,Traded Sectors,True,Consumer,spouse/widow,True,True,Johanna,Quandt
Stefan Persson,12,2014,1947, H&M,relation, fashion, new,66,male,Sweden,SWE,0.0,Europe,inherited,34.4,Traded Sectors,True,Consumer,father,True,True,Stefan,Persson
Paul Allen,13,1996,1975,Microsoft,founder,technology,new,43,male,United States,USA,8100000000000.0,North America,founder non-finance,7.5,New Sectors,True,Technology-Computer,not inherited,True,True,Paul,Allen
Steven Ballmer,13,2001,1975,Microsoft,CEO,technology,new,44,male,United States,USA,10600000000000.0,North America,executive,16.6,New Sectors,True,Technology-Computer,not inherited,True,True,Steven,Ballmer
Alice Walton,13,2014,1962,Walmart,relation,retail, new,64,female,United States,USA,0.0,North America,inherited,34.3,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Alice,Walton
Kenneth Thomson,14,1996,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,72,male,Canada,CAN,627000000000.0,North America,inherited,7.4,Non-Traded Sectors,True,Media,father,True,True,Kenneth,Thomson
Kenneth Thomson,14,2001,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,77,male,Canada,CAN,733000000000.0,North America,inherited,16.4,Non-Traded Sectors,True,Media,father,True,True,Kenneth,Thomson
S. Robson Walton,14,2014,1962,Walmart,relation,retail, new,70,male,United States,USA,0.0,North America,inherited,34.2,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,S.,RobsonWalton
John Kluge,15,1996,1956,Metropolitan Broadcasting Corporation,chairman,media,new,81,male,United States,USA,8100000000000.0,North America,executive,7.2,Non-Traded Sectors,True,Media,not inherited,True,True,John,Kluge
Liliane Bettencourt,15,2001,1909,L'Oreal,relation,cosmetics,new,78,female,France,FRA,1380000000000.0,Europe,inherited,15.6,Traded Sectors,True,Consumer,father,True,True,Liliane,Bettencourt
Bernard Arnault,15,2014,1987,LVMH,founder,luxury goods,acquired,64,male,France,FRA,0.0,Europe,founder non-finance,33.5,Traded Sectors,True,Consumer,not inherited,True,True,Bernard,Arnault
Tan Yu,16,1996,1972,Asiaworld Internationale Group,founder,real estate,new,0,male,Philippines,PHL,82848194406.0,East Asia,self-made finance,7.0,Financial,True,Real Estate,not inherited,True,True,Tan,Yu
Philip Anschutz,16,2001,1961,Circle A Drilling,investor,"oil, railroad, investments",aquired,61,male,United States,USA,10600000000000.0,North America,self-made finance,15.3,Financial,True,Money Management,not inherited,True,True,Philip,Anschutz
Michael Bloomberg,16,2014,1981,Bloomberg,founder, finance, new,72,male,United States,USA,0.0,North America,founder non-finance,33.0,Non-Traded Sectors,True,Media,not inherited,True,True,Michael,Bloomberg
Wonowidjojo family,17,1996,1958,Gudang Garam,,cigarettes,new,0,,Indonesia,IDN,227000000000.0,East Asia,inherited,6.7,Traded Sectors,True,Consumer,not inherited,True,True,Wonowidjojo,family
Ingvar Kamprad,17,2001,1943,IKEA,founder,furniture,new,74,male,Sweden,SWE,240000000000.0,Europe,founder non-finance,13.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Ingvar,Kamprad
Larry Page,17,2014,1998,Google,founder, technology, new,40,male,United States,USA,0.0,North America,founder non-finance,32.3,New Sectors,True,Technology-Computer,not inherited,True,True,Larry,Page
Carlos Slim Helu,18,1996,1990,Telmex,founder, Communications,privatization,56,male,Mexico,MEX,397000000000.0,Latin America,privatized and resources,6.1,Non-Traded Sectors,True,Media,not inherited,True,True,Carlos,SlimHelu
Li Ka-shing,18,2001,1971,Cheung king,founder,real estate,new,72,male,Hong Kong,HKG,169000000000.0,East Asia,self-made finance,12.6,Financial,True,Real Estate,not inherited,True,True,Li,Ka-shing
Sumner Redstone,18,2001,1936,National Amusements,relation,media,new,77,male,United States,USA,10600000000000.0,North America,inherited,12.6,Non-Traded Sectors,True,Media,father,True,True,Sumner,Redstone
Jeff Bezos,18,2014,1995,Amazon,founder, technology, new,50,male,United States,USA,0.0,North America,founder non-finance,32.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Jeff,Bezos
Larry Ellison,19,1996,1977,Oracle,founder, software, new,51,male,United States,USA,8100000000000.0,North America,founder non-finance,6.0,New Sectors,True,Technology-Computer,not inherited,True,True,Larry,Ellison
Sergey Brin,19,2014,1998,Google,founder, technology, new,40,male,United States,USA,0.0,North America,founder non-finance,31.8,New Sectors,True,Technology-Computer,not inherited,True,True,Sergey,Brin
Chung Ju-yung,20,1996,1946,Hyundai Group,founder,cars,new,0,male,South Korea,KOR,603000000000.0,East Asia,self-made finance,5.9,Financial,True,Diversified financial,not inherited,True,True,Chung,Ju-yung
Leo Kirch,20,2001,1956,Kirch Group,founder,media,new,0,male,Germany,DEU,1950000000000.0,Europe,founder non-finance,12.0,Non-Traded Sectors,True,Media,not inherited,True,True,Leo,Kirch
Li Ka-shing,20,2014,1950,Cheung Kong,founder,real estate,new,85,male,Hong Kong,HKG,0.0,East Asia,self-made finance,31.0,Financial,True,Diversified financial,not inherited,True,True,Li,Ka-shing
Gerard Mulliez,21,1996,1961,Auchan,founder,retail,new,0,male,France,FRA,1610000000000.0,Europe,founder non-finance,5.7,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Gerard,Mulliez
Anne Cox Chambers,21,2001,1898,Cox Enterprises,relation,media,aquired,81,female,United States,USA,10600000000000.0,North America,inherited,11.7,Non-Traded Sectors,True,Media,father,True,True,Anne,CoxChambers
Barbara Cox Anthony,21,2001,1898,Cox Enterprises,relation,media,aquired,77,female,United States,USA,10600000000000.0,North America,inherited,11.7,Non-Traded Sectors,True,Media,father,True,True,Barbara,CoxAnthony
Mark Zuckerberg,21,2014,2004, Facebook,founder, technology, new,29,male,United States,USA,0.0,North America,founder non-finance,28.5,New Sectors,True,Technology-Computer,not inherited,True,True,Mark,Zuckerberg
Robert Kuok,22,1996,1980,Tana Exploration Company,relation,oil,new,73,male,Malaysia,MYS,101000000000.0,East Asia,self-made finance,5.7,Financial,True,Money Management,not inherited,True,True,Robert,Kuok
Michele Ferrero,22,2014,1946,Ferrero spa,relation,chocolates,new,88,male,Italy,ITA,0.0,Europe,executive,26.5,Traded Sectors,True,Consumer,not inherited,True,True,Michele,Ferrero
Kwek Leng Beng,23,1996,1948,Hong Leong Group,relation,banking,new,55,male,Singapore,SGP,96400967339.0,East Asia,inherited,5.7,Financial,True,Diversified financial,father,True,True,Kwek,LengBeng
Walter Thomas and Raymond Kwok,23,2001,1963,Sun Hung Kai Properties,Relation,real estate,new,0,male,Hong Kong,HKG,169000000000.0,East Asia,inherited,11.5,Financial,True,Real Estate,father,True,True,Walter,ThomasandRaymondKwok
Aliko Dangote,23,2014,1981,Dangote Group,founder and CEO,"commodities (sugar, cement flour)",new,56,male,Nigeria,NGA,0.0,Sub-Saharan Africa,founder non-finance,25.0,Non-Traded Sectors,True,Constrution,not inherited,True,True,Aliko,Dangote
Karl Albrecht,23,2014,1914,Aldi Sud,relation,groceries,new,94,male,Germany,DEU,0.0,Europe,executive,25.0,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Karl,Albrecht
Cheng Yu-tung,24,1996,1929,Chow Tai Fook Enterprises,relation,real estate,new,70,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.5,Financial,True,Real Estate,father,True,True,Cheng,Yu-tung
John Kluge,24,2001,1956,Metropolitan Broadcasting Corporation,chairman,media,new,86,male,United States,USA,10600000000000.0,North America,executive,10.9,Non-Traded Sectors,True,Media,not inherited,True,True,John,Kluge
Walter Haefner,25,1996,1957,Automation Center,founder,computer services,new,85,male,Switzerland,CHE,330000000000.0,Europe,founder non-finance,5.5,New Sectors,True,Technology-Computer,not inherited,True,True,Walter,Haefner
Carlos Slim Helu,25,2001,1990,Telmex,founder, Communications,privatization,61,male,Mexico,MEX,725000000000.0,Latin America,privatized and resources,10.8,Non-Traded Sectors,True,Media,not inherited,True,True,Carlos,SlimHelu
Carl Icahn,25,2014,1968,Icahn Enterprises,founder,investment (via holding company),new,78,male,United States,USA,0.0,North America,self-made finance,24.5,Financial,True,Diversified financial,not inherited,True,True,Carl,Icahn
Philip Knight,26,1996,1964,Nike,founder,apparel,new,58,male,United States,USA,8100000000000.0,North America,founder non-finance,5.3,Traded Sectors,True,Consumer,not inherited,True,True,Philip,Knight
Bernard Arnault,26,2001,1981,LVMH,founder,luxury goods,acquired,52,male,France,FRA,1380000000000.0,Europe,founder non-finance,10.7,Traded Sectors,True,Consumer,not inherited,True,True,Bernard,Arnault
George Soros,26,2014,1969,Soros Fund Management,founder,hedge funds,new,83,male,United States,USA,0.0,North America,self-made finance,23.0,Financial,True,Hedge funds,not inherited,True,True,George,Soros
Michael Otto,27,1996,1950,Otto Group,relation,mail order retail,new,52,male,Germany,DEU,2500000000000.0,Europe,inherited,5.2,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Michael,Otto
Ernesto Bertarelli,27,2001,1906,Serono,relation,pharmaceuticals,new,35,male,Switzerland,CHE,279000000000.0,Europe,inherited,10.5,New Sectors,True,Technology-Medical,3rd generation,True,True,Ernesto,Bertarelli
Michael Dell,27,2001,1984,Dell,founder,technology,new,36,male,United States,USA,10600000000000.0,North America,founder non-finance,10.5,New Sectors,True,Technology-Computer,not inherited,True,True,Michael,Dell
David Thomson,27,2014,1934,Thomson Corporation (now Thomson Reuters),relation,media,acquired,56,male,Canada,CAN,0.0,North America,inherited,22.6,Non-Traded Sectors,True,Media,father,True,True,David,Thomson
Fong Teng,28,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.2,Traded Sectors,True,Consumer,father,True,True,Fong,Teng
Lui Che Woo,28,2014,1955,K. Wah Group,founder/chairman,"construction, hotels, gaming",new,84,male,Hong Kong,HKG,0.0,East Asia,self-made finance,22.0,Financial,True,Real Estate,not inherited,True,True,Lui,CheWoo
Robert and Ten Fong Ng,29,1996,1970,Sino Group,relation,real estate,new,0,male,Hong Kong,HKG,160000000000.0,East Asia,inherited,5.2,Financial,True,Real Estate,father,True,True,Robert,andTenFongNg
Silvio Berlusconi,29,2001,1978,Fininvest,founder,media,new,64,male,Italy,ITA,1160000000000.0,Europe,privatized and resources,10.3,Non-Traded Sectors,True,Media,not inherited,True,True,Silvio,Berlusconi
Dieter Schwarz,29,2014,1930,Schwarz Group,relation,groceries,new,74,male,Germany,DEU,0.0,Europe,inherited,21.1,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Dieter,Schwarz
Yasuo Takei,30,1996,0,Takefuji,founder,finance,new,66,male,Japan,JPN,4710000000000.0,East Asia,self-made finance,5.2,Financial,True,Money Management,not inherited,True,True,Yasuo,Takei
Abigail Johnson,30,2001,1946,Fidelity Investments,relation,investment banking,new,39,female,United States,USA,10600000000000.0,North America,inherited,9.1,Financial,True,Money Management,3rd generation,True,True,Abigail,Johnson
Prince Alwaleed Bin Talal Alsaud,30,2014,1980,Kingdom Holding Company,founder,construction/real estate/banking,new,58,male,Saudi Arabia,SAU,0.0,Middle East/North Africa,privatized and resources,20.4,Financial,True,Diversified financial,not inherited,True,True,Prince,AlwaleedBinTalalAlsaud
Antonio Ermirio de Moraes,31,1996,1919,Votorantim Group,relation,"metals, paper, cement",new,0,male,Brazil,BRA,854000000000.0,Latin America,inherited,5.1,Traded Sectors,True,Non-consumer industrial,father,True,True,Antonio,ErmiriodeMoraes
Forrest Mars Jr,31,2001,1911,"Mars, Incorperated",relation,candy,new,69,male,United States,USA,10600000000000.0,North America,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,Forrest,MarsJr
Jacqueline Mars,31,2001,1911,"Mars, Incorperated",relation,candy,new,0,female,United States,USA,10600000000000.0,North America,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,Jacqueline,Mars
John Mars,31,2001,1911,"Mars, Incorperated",relation,candy,new,64,male,United States,USA,10600000000000.0,North America,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,John,Mars
Kirsten Rausing,31,2001,1951,Tetra Pak,relation,food packaging,new,0,female,Sweden,SWE,240000000000.0,Europe,inherited,9.0,Traded Sectors,True,Consumer,3rd generation,True,True,Kirsten,Rausing
"Forrest Mars, Jr.",31,2014,1911,"Mars, Incorperated",relation,candy,new,82,male,United States,USA,0.0,North America,inherited,20.0,Traded Sectors,True,Consumer,3rd generation,True,True,Forrest,"Mars,Jr."
Jacqueline Mars,31,2014,1911,"Mars, Incorperated",relation,candy,new,74,female,United States,USA,0.0,North America,inherited,20.0,Traded Sectors,True,Consumer,3rd generation,True,True,Jacqueline,Mars
John Mars,31,2014,1911,"Mars, Incorperated",relation,candy,new,77,male,United States,USA,0.0,North America,inherited,20.0,Traded Sectors,True,Consumer,3rd generation,True,True,John,Mars
Eka Tjipta Widjaja,32,1996,1962,Sinar Mas Group,founder,banking,new,0,male,Indonesia,IDN,227000000000.0,East Asia,self-made finance,5.1,Financial,True,Diversified financial,not inherited,True,True,Eka,TjiptaWidjaja
Liliane Bettencourt,33,1996,1909,L'Oreal,relation,cosmetics,new,73,female,France,FRA,1610000000000.0,Europe,inherited,5.0,Traded Sectors,True,Consumer,father,True,True,Liliane,Bettencourt
Merck family,34,1996,1668,Merck,,pharmaceuticals,aquired,0,,Germany,DEU,2500000000000.0,Europe,inherited,5.0,New Sectors,True,Technology-Medical,not inherited,True,True,Merck,family
Jorge Paulo Lemann,34,2014,1999,Ambev,founder,investment banking/beer,aquired,74,male,Brazil,BRA,0.0,Latin America,founder non-finance,19.7,Traded Sectors,True,Consumer,not inherited,True,True,Jorge,PauloLemann
Silvio Berlusconi,35,1996,1978,Fininvest,founder,media,new,59,male,Italy,ITA,1310000000000.0,Europe,privatized and resources,5.0,Non-Traded Sectors,True,Media,not inherited,True,True,Silvio,Berlusconi
Charles Ergen,35,2001,1980,dish networtk,founder,media,new,48,male,United States,USA,10600000000000.0,North America,founder non-finance,8.8,Non-Traded Sectors,True,Media,not inherited,True,True,Charles,Ergen
Ted Turner,35,2001,1970,CNN,founder,media,aquired,62,male,United States,USA,10600000000000.0,North America,founder non-finance,8.8,Non-Traded Sectors,True,Media,not inherited,True,True,Ted,Turner
Lee Shau Kee,35,2014,1976,Henderson Land Development,founder/chairman,real estate,new,86,male,Hong Kong,HKG,0.0,East Asia,self-made finance,19.6,Financial,True,Diversified financial,not inherited,True,True,Lee,ShauKee
Mohamed Salim Bin Mahfouz,36,1996,1953,National Comercial bank of Saudi Arabia,relation,banking,new,0,male,Saudi Arabia,SAU,158000000000.0,Middle East/North Africa,inherited,5.0,Financial,True,Money Management,father,True,True,Mohamed,SalimBinMahfouz
Steve Ballmer,36,2014,1975,Microsoft,CEO,technology,new,57,male,United States,USA,0.0,North America,executive,19.3,New Sectors,True,Technology-Computer,not inherited,True,True,Steve,Ballmer
"Theo Albrecht, Jr.",36,2014,1913,Aldi Nord,Relation,groceries,new,63,male,Germany,DEU,0.0,Europe,inherited,19.3,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Theo,"Albrecht,Jr."
Lee Kun-Hee,37,1996,1938,Samsung,relation,electronics,new,0,male,South Korea,KOR,603000000000.0,East Asia,inherited,4.9,New Sectors,True,Technology-Computer,father,True,True,Lee,Kun-Hee
Yasuo Takei,37,2001,0,Takefuji,founder,finance,new,71,male,Japan,JPN,4160000000000.0,East Asia,self-made finance,8.3,Financial,True,Money Management,not inherited,True,True,Yasuo,Takei
John Walton,38,1996,1962,Walmart,relation, retail, new,50,male,United States,USA,8100000000000.0,North America,inherited,4.8,Traded Sectors,True,Consumer,father,True,True,John,Walton
Suliman Olayan,38,2001,1947,General Contracting Company,founder,oil infrastructure,new,0,male,Saudi Arabia,SAU,183000000000.0,Middle East/North Africa,self-made finance,8.0,Financial,True,Diversified financial,not inherited,True,True,Suliman,Olayan
Leonardo Del Vecchio,38,2014,1961,?Luxottica,founder,glasses,new,78,male,Italy,ITA,0.0,Europe,founder non-finance,19.2,Traded Sectors,True,Consumer,not inherited,True,True,Leonardo,DelVecchio
Jim Walton,39,1996,1962,Walmart,relation,retail, new,48,male,United States,USA,8100000000000.0,North America,inherited,4.8,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Jim,Walton
Rupert Murdoch,39,2001,1923,News Limited,relation,media,new,70,male,United States,USA,10600000000000.0,North America,inherited,7.8,Non-Traded Sectors,True,Media,father,True,True,Rupert,Murdoch
Len Blavatnik,39,2014,1990,Renova Group,founder,"aluminum, oil",new,56,male,United States,USA,0.0,North America,self-made finance,18.7,Financial,True,Diversified financial,not inherited,True,True,Len,Blavatnik
Helen Walton,40,1996,1962,Walmart,relation,retail, new,76,female,United States,USA,8100000000000.0,North America,inherited,4.7,Traded Sectors,True,Consumer,spouse/widow,True,True,Helen,Walton
Hans Rausing,40,2001,1951,Tetra Pak,relation,food packaging,new,74,male,Sweden,SWE,240000000000.0,Europe,inherited,7.7,Traded Sectors,True,Consumer,father,True,True,Hans,Rausing
Nobutada Saji,40,2001,1899,Suntory,relation,brewery,new,55,male,Japan,JPN,4160000000000.0,East Asia,inherited,7.7,Traded Sectors,True,Consumer,3rd generation,True,True,Nobutada,Saji
Alisher Usmanov,40,2014,1999,Metalloinvest,founder,metals,new,60,male,Russia,RUS,0.0,Europe,privatized and resources,18.6,Resource Related,True,Non-consumer industrial,not inherited,True,True,Alisher,Usmanov
Mukesh Ambani,40,2014,1980,Reliance,relation,textiles,new,56,male,India,IND,0.0,South Asia,inherited,18.6,Resource Related,True,Energy,not inherited,True,True,Mukesh,Ambani
Alice Walton,41,1996,1962,Walmart,relation,retail, new,47,female,United States,USA,8100000000000.0,North America,inherited,4.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Alice,Walton
S Robson Walton,42,1996,1962,Walmart,relation,retail, new,52,male,United States,USA,8100000000000.0,North America,inherited,4.7,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,S,RobsonWalton
Azim Premji,42,2001,1945,Wipro Limited,relation,software,new,55,male,India,IND,494000000000.0,South Asia,inherited,6.9,New Sectors,True,Technology-Computer,father,True,True,Azim,Premji
Masayoshi Son,42,2014,1981,Softbank,founder/CEO,technology,new,56,male,Japan,JPN,0.0,East Asia,founder non-finance,18.4,New Sectors,True,Technology-Computer,not inherited,True,True,Masayoshi,Son
Michael Otto,42,2014,1949,Otto Group,relation,mail order retail,new,70,male,Germany,DEU,0.0,Europe,inherited,18.4,Non-Traded Sectors,True,"Retail, Restaurant",father,True,True,Michael,Otto
Phil Knight,42,2014,1964,Nike,founder,apparel,new,76,male,United States,USA,0.0,North America,founder non-finance,18.4,Traded Sectors,True,Consumer,not inherited,True,True,Phil,Knight
Henkel family,43,1996,1876,Henkel AG,,chemicals,new,0,,Germany,DEU,2500000000000.0,Europe,inherited,4.6,Traded Sectors,True,Non-consumer industrial,not inherited,True,True,Henkel,family
Amancio Ortega,43,2001,1975,Zara,founder,Fashion,new,65,male,Spain,ESP,626000000000.0,Europe,founder non-finance,6.6,Traded Sectors,True,Consumer,not inherited,True,True,Amancio,Ortega
Leonardo Del Vecchio,43,2001,1961,?Luxottica,founder,glasses,new,65,male,Italy,ITA,1160000000000.0,Europe,founder non-finance,6.6,Traded Sectors,True,Consumer,not inherited,True,True,Leonardo,DelVecchio
Masayoshi Son,44,1996,1981,Softbank,founder/CEO,technology,new,38,male,Japan,JPN,4710000000000.0,East Asia,founder non-finance,4.6,Non-Traded Sectors,True,Media,not inherited,True,True,Masayoshi,Son
Friedrich Flick,45,1996,1919,Friedrich Flick Industrial Holding,relation,coal,new,69,male,Germany,DEU,2500000000000.0,Europe,inherited,4.5,Financial,True,Money Management,father,True,True,Friedrich,Flick
Gerald Cavendish Grosvenor,45,2001,1677,Grosvenor Group,relation,real estate,new,49,male,United Kingdom,GBR,1530000000000.0,Europe,inherited,6.5,Financial,True,Real Estate,5th generation or longer,True,True,Gerald,CavendishGrosvenor
Tadashi Yanai,45,2014,1963,Fast Retailing/Uniqlo,founder,apparel,new,65,male,Japan,JPN,0.0,East Asia,founder non-finance,17.9,Non-Traded Sectors,True,"Retail, Restaurant",not inherited,True,True,Tadashi,Yanai
Liem Sioe Liong,46,1996,1952,Salim Group,founder,consumer goods,new,0,male,Indonesia,IDN,227000000000.0,East Asia,self-made finance,4.5,Financial,True,Diversified financial,not inherited,True,True,Liem,SioeLiong
